Gus,Burnie,Gavin,Barbara,Geoff,Chris,Blaine,Jon,Becca,Jordan,Ashley,Bethany,Adam E,Trevor,Miles,Kerry,Tyler,Ellie,Brandon,Mariel,Aaron,Josh,Lindsay,Matt,Gray,Max,Patrick M,Jessica,Joel,Michael,Jeremy,Jack,Meg,Kara,Ben K,Ray,Monty,Adam B,Eddy R,Marshall,Kathleen,Griffon
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,
1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,
1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,
1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,1,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
1,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,
1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,
1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,
1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,
1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,
1,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,
1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,
,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,
1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
1,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,
1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,1,,,,,
1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,
1,1,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,
1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,
1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,
1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,
,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,
1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,
1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,
1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,
1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,
1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,
1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,
1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,
1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
1,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,